CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI
CAMP00001,2025-04-13,2025-04-19,Search,293520,23335,11643,5389,1052.39,2236.02,1.12
CAMP00002,2025-12-15,2025-12-24,Search,200340,15841,6601,2498,3964.9,11740.15,1.96
CAMP00003,2025-09-28,2025-10-06,Email,239365,16478,8043,3397,1000.39,1902.24,0.9
CAMP00004,2025-04-17,2025-04-30,Search,156382,2672,1014,342,1252.63,2209.74,0.76
CAMP00005,2025-03-13,2025-03-22,Influencer,285472,4155,1521,565,4935.48,14111.31,1.86
CAMP00006,2025-07-08,2025-07-21,Social,177469,7979,3231,1446,3540.34,3885.94,0.1
CAMP00007,2025-01-21,2025-02-05,Display,174231,2160,379,107,1999.53,3306.37,0.65
CAMP00008,2025-04-13,2025-04-26,Display,234598,21435,9052,2295,3793.91,7159.09,0.89
CAMP00009,2025-05-02,2025-05-08,Influencer,209438,2474,1207,697,2385.72,2800.53,0.17
CAMP00010,2025-08-03,2025-08-16,Search,195376,2474,852,251,1142.07,2323.19,1.03
CAMP00011,2025-11-27,2025-12-04,Social,53998,1343,140,55,2491.07,4360.88,0.75
CAMP00012,2025-03-29,2025-04-06,Search,107304,7128,918,463,3882.92,7276.43,0.87
CAMP00013,2025-04-10,2025-04-15,Email,194692,11436,2217,936,973.85,2310.62,1.37
CAMP00014,2025-12-26,2025-12-31,Search,207001,14356,4255,1931,2479.11,2827.93,0.14
CAMP00015,2025-06-01,2025-06-06,Email,257862,23315,6190,1642,684.67,2001.69,1.92
CAMP00016,2025-05-11,2025-05-24,Display,159957,8149,4006,1434,4229.14,8648.05,1.04
CAMP00017,2025-05-30,2025-06-14,Social,12103,168,80,38,4112.15,11010.78,1.68
CAMP00018,2025-11-05,2025-11-17,Email,281690,22173,5700,1618,3399.93,5565.65,0.64
CAMP00019,2025-09-15,2025-09-24,Search,260948,21678,9055,3562,4608.11,7497.56,0.63
CAMP00020,2025-12-10,2025-12-19,Search,151528,2195,778,338,2059.75,5783.01,1.81
CAMP00021,2025-10-21,2025-11-03,Display,285372,9090,1793,924,746.69,922.13,0.23
CAMP00022,2025-07-11,2025-07-18,Influencer,267190,21202,10017,2870,4880.6,5893.6,0.21
CAMP00023,2025-10-04,2025-10-11,Influencer,221014,9692,1975,1167,2614.07,6258.53,1.39
CAMP00024,2025-06-10,2025-06-21,Search,120965,6355,2847,1671,2430.02,4694.93,0.93
CAMP00025,2025-11-10,2025-11-23,Influencer,20930,1759,624,127,412.25,1003.68,1.43
CAMP00026,2025-01-22,2025-02-01,Social,85823,1589,553,191,2894.85,5401.22,0.87
CAMP00027,2025-09-10,2025-09-16,Influencer,256025,18166,7908,1796,3259.23,4639.47,0.42
CAMP00028,2025-08-24,2025-08-29,Social,204494,6001,1786,583,2418.62,5878.43,1.43
CAMP00029,2025-12-11,2025-12-17,Search,83880,1311,578,255,4561.0,4917.26,0.08
CAMP00030,2025-02-18,2025-02-23,Search,223626,15569,4983,2209,3737.65,7086.3,0.9
CAMP00031,2025-02-28,2025-03-14,Search,177827,3721,1837,438,289.24,554.56,0.92
CAMP00032,2025-06-19,2025-07-03,Display,188552,14561,5299,2495,2758.59,3188.53,0.16
CAMP00033,2025-07-07,2025-07-20,Influencer,12293,347,86,46,4969.0,7370.33,0.48
CAMP00034,2025-09-28,2025-10-12,Email,73542,1056,428,193,1078.76,1639.65,0.52
CAMP00035,2025-07-09,2025-07-21,Email,65528,1240,376,121,3124.16,8703.85,1.79
CAMP00036,2025-06-24,2025-07-05,Search,113885,9761,4123,828,1440.13,2916.67,1.03
CAMP00037,2025-02-20,2025-02-27,Influencer,150771,6541,2834,1301,1920.27,4496.36,1.34
CAMP00038,2025-12-30,2026-01-11,Social,164506,6120,2122,999,264.81,293.89,0.11
CAMP00039,2025-02-24,2025-03-02,Email,59669,3234,1451,701,3470.79,4189.11,0.21
CAMP00040,2025-09-01,2025-09-07,Search,284746,19067,4983,1074,3852.05,8192.31,1.13
CAMP00041,2025-11-16,2025-12-01,Email,176858,2359,290,117,3887.29,10379.97,1.67
CAMP00042,2025-05-11,2025-05-25,Email,277096,25170,9188,3357,4855.66,5370.17,0.11
CAMP00043,2025-11-03,2025-11-10,Email,121032,11650,4727,2396,4205.6,12477.79,1.97
CAMP00044,2025-05-15,2025-05-26,Search,37905,1802,232,113,1117.27,3095.83,1.77
CAMP00045,2025-01-21,2025-01-26,Search,182996,8625,3522,2043,1229.73,3377.2,1.75
CAMP00046,2025-11-25,2025-12-07,Display,18381,1637,582,325,3863.15,3930.17,0.02
CAMP00047,2025-06-16,2025-06-27,Display,255666,12435,1822,771,3906.84,7082.26,0.81
CAMP00048,2025-10-01,2025-10-09,Display,295274,25705,8122,4809,702.91,1821.61,1.59
CAMP00049,2025-03-30,2025-04-08,Email,35415,444,63,16,132.5,333.53,1.52
CAMP00050,2025-11-12,2025-11-26,Influencer,185200,10013,2289,464,2066.76,3495.47,0.69
CAMP00051,2025-01-14,2025-01-19,Search,89679,8583,3618,879,3503.9,9654.22,1.76
CAMP00052,2025-08-30,2025-09-07,Display,120458,3945,553,189,4346.66,9876.13,1.27
CAMP00053,2025-09-22,2025-09-27,Influencer,136460,4633,1314,659,910.12,2719.35,1.99
CAMP00054,2025-12-12,2025-12-17,Display,82652,5513,1887,666,4094.93,6836.28,0.67
CAMP00055,2025-02-22,2025-03-08,Display,155878,14552,6929,3549,3453.83,7899.24,1.29
CAMP00056,2025-12-06,2025-12-11,Influencer,69333,1933,763,379,913.18,1688.45,0.85
CAMP00057,2025-04-02,2025-04-13,Display,241388,22436,3493,1808,4379.09,10050.49,1.3
CAMP00058,2025-09-21,2025-10-02,Email,115930,8076,3937,1082,4671.64,7098.74,0.52
CAMP00059,2025-02-04,2025-02-12,Email,271996,27029,7870,3198,1402.45,2475.26,0.76
CAMP00060,2025-07-25,2025-07-31,Email,251355,19173,4752,2305,828.59,2373.46,1.86
CAMP00061,2025-03-22,2025-03-29,Social,194889,13662,2069,648,4841.37,7640.26,0.58
CAMP00062,2025-02-19,2025-03-03,Display,165120,13761,6514,3486,212.13,475.47,1.24
CAMP00063,2025-12-26,2026-01-07,Social,228622,5889,1969,1007,4747.16,13468.54,1.84
CAMP00064,2025-01-02,2025-01-17,Search,118120,11237,5564,1379,1159.5,2274.99,0.96
CAMP00065,2025-02-23,2025-03-10,Influencer,81596,2032,344,98,2246.84,5370.37,1.39
CAMP00066,2025-04-16,2025-04-26,Search,246777,3037,966,284,1610.92,4021.01,1.5
CAMP00067,2025-09-17,2025-10-01,Social,260878,18993,2734,1507,853.17,1781.61,1.09
CAMP00068,2025-11-06,2025-11-19,Email,275353,7328,2269,623,1827.14,3211.78,0.76
CAMP00069,2025-07-10,2025-07-25,Display,58482,4578,2087,936,2742.31,7176.22,1.62
CAMP00070,2025-08-06,2025-08-19,Display,154148,12571,1806,408,559.75,1180.08,1.11
CAMP00071,2025-02-13,2025-02-21,Email,122458,3833,796,335,4064.97,5009.16,0.23
CAMP00072,2025-06-11,2025-06-16,Display,124614,2218,827,212,4021.87,11056.48,1.75
CAMP00073,2025-07-21,2025-07-26,Influencer,94484,5203,679,292,4007.66,6391.78,0.59
CAMP00074,2025-09-27,2025-10-11,Influencer,154151,13892,3911,1357,3463.6,6881.77,0.99
CAMP00075,2025-12-17,2025-12-26,Influencer,186810,16113,3757,1661,2330.79,3327.47,0.43
CAMP00076,2025-10-31,2025-11-06,Search,279849,5747,2501,894,4185.25,8309.05,0.99
CAMP00077,2025-09-28,2025-10-08,Email,114165,11054,1322,716,4274.06,5378.93,0.26
CAMP00078,2025-08-03,2025-08-14,Influencer,15248,514,228,114,1498.74,3196.1,1.13
CAMP00079,2025-09-09,2025-09-14,Social,94169,3902,1488,800,2456.66,5025.25,1.05
CAMP00080,2025-07-09,2025-07-19,Influencer,100039,2342,512,147,1094.52,2886.06,1.64
CAMP00081,2025-10-23,2025-11-04,Search,12461,548,98,25,1353.37,2868.87,1.12
CAMP00082,2025-08-01,2025-08-10,Social,163070,10959,5261,2225,1270.87,2309.79,0.82
CAMP00083,2025-07-27,2025-08-07,Email,148893,8270,2659,1460,4152.04,8024.53,0.93
CAMP00084,2025-08-25,2025-09-08,Email,24870,2100,499,121,1329.0,2936.38,1.21
CAMP00085,2025-12-04,2025-12-14,Influencer,18410,1246,146,42,2776.94,7439.86,1.68
CAMP00086,2025-02-22,2025-03-02,Social,92721,3126,519,258,3178.41,3443.69,0.08
CAMP00087,2025-10-07,2025-10-18,Social,24133,1452,492,189,3748.95,10696.46,1.85
CAMP00088,2025-08-05,2025-08-19,Influencer,290503,4583,1398,617,242.14,282.76,0.17
CAMP00089,2025-09-09,2025-09-22,Influencer,197457,12295,4955,2163,2431.16,4107.2,0.69
CAMP00090,2025-07-07,2025-07-21,Display,32400,1460,633,231,1533.78,2565.03,0.67
CAMP00091,2025-02-10,2025-02-24,Display,39173,738,191,92,4186.47,8638.77,1.06
CAMP00092,2025-06-06,2025-06-17,Influencer,16179,609,85,45,280.07,478.73,0.71
CAMP00093,2025-01-15,2025-01-24,Search,197958,17980,7490,4217,1114.27,1602.92,0.44
CAMP00094,2025-10-28,2025-11-08,Display,40495,2540,816,178,1647.22,2449.17,0.49
CAMP00095,2025-03-06,2025-03-13,Influencer,273631,24980,12288,5178,481.42,1430.1,1.97
CAMP00096,2025-12-11,2025-12-17,Social,19760,928,388,83,2037.55,5446.95,1.67
CAMP00097,2025-11-23,2025-12-08,Display,96975,9513,2203,1234,3744.47,9776.61,1.61
CAMP00098,2025-01-09,2025-01-18,Search,97465,4132,1121,416,1140.34,2096.56,0.84
CAMP00099,2025-12-10,2025-12-18,Email,207899,16239,3154,1766,3796.9,10906.09,1.87
CAMP00100,2025-05-09,2025-05-18,Social,296547,11116,3388,931,2692.17,3029.86,0.13
CAMP00101,2025-05-16,2025-05-28,Search,204109,3988,1532,405,1789.15,2237.56,0.25
CAMP00102,2025-03-04,2025-03-12,Search,120625,10250,3536,1991,1907.15,2848.22,0.49
CAMP00103,2025-05-19,2025-06-01,Search,6755,531,125,71,669.9,1529.64,1.28
CAMP00104,2025-03-22,2025-04-02,Social,133500,11194,4805,2434,1323.93,1765.74,0.33
CAMP00105,2025-06-12,2025-06-26,Search,172230,6367,904,261,3683.0,6157.97,0.67
CAMP00106,2025-10-16,2025-10-27,Email,76352,5598,879,236,4327.45,5861.25,0.35
CAMP00107,2025-09-18,2025-09-30,Display,203498,6062,1586,791,1401.43,3642.78,1.6
CAMP00108,2025-08-19,2025-08-29,Social,117133,1290,491,222,2984.48,8411.37,1.82
CAMP00109,2025-02-10,2025-02-22,Search,12688,1116,421,231,270.16,729.65,1.7
CAMP00110,2025-01-28,2025-02-04,Influencer,240876,13758,3392,1053,479.29,505.48,0.05
CAMP00111,2025-05-15,2025-05-29,Display,175556,17297,6549,2083,4825.4,7886.67,0.63
CAMP00112,2025-07-20,2025-08-03,Social,195927,8748,1086,535,4492.88,10222.04,1.28
CAMP00113,2025-11-24,2025-11-29,Influencer,154651,14864,3210,985,498.28,498.97,0.0
CAMP00114,2025-09-25,2025-10-05,Influencer,149086,9743,3678,1415,4129.41,10293.46,1.49
CAMP00115,2025-02-02,2025-02-07,Search,53443,2998,520,212,602.27,1648.75,1.74
CAMP00116,2025-02-17,2025-03-02,Social,178033,6632,1227,573,4159.67,4805.09,0.16
CAMP00117,2025-03-03,2025-03-09,Search,194986,16432,2214,747,4576.15,8522.82,0.86
CAMP00118,2025-08-04,2025-08-19,Email,41397,3501,860,467,850.12,1364.99,0.61
CAMP00119,2025-10-20,2025-10-26,Influencer,248818,11824,5083,1834,821.44,2377.15,1.89
CAMP00120,2025-04-09,2025-04-20,Email,183250,13827,6008,1301,4640.2,7653.87,0.65
CAMP00121,2025-06-21,2025-06-27,Search,6063,304,135,30,1577.02,3409.32,1.16
CAMP00122,2025-12-26,2026-01-09,Display,80848,6190,709,417,2416.01,2459.79,0.02
CAMP00123,2025-08-02,2025-08-14,Influencer,172115,17121,8515,3821,1591.75,4255.07,1.67
CAMP00124,2025-02-04,2025-02-14,Display,115687,3889,1170,463,3771.75,3992.67,0.06
CAMP00125,2025-08-15,2025-08-26,Social,131230,8800,3951,2164,1134.32,2425.7,1.14
CAMP00126,2025-04-11,2025-04-22,Influencer,266234,11764,5435,2645,2521.19,6256.15,1.48
CAMP00127,2025-05-11,2025-05-21,Email,213347,12662,3872,1055,4267.27,7652.27,0.79
CAMP00128,2025-09-14,2025-09-28,Display,140141,12426,1496,303,4718.98,5017.85,0.06
CAMP00129,2025-01-05,2025-01-20,Social,266252,10991,3725,2208,1828.4,5122.16,1.8
CAMP00130,2025-08-06,2025-08-19,Influencer,151676,2504,585,264,658.45,1140.53,0.73
CAMP00131,2025-09-12,2025-09-25,Social,19612,1606,293,114,4067.46,7859.64,0.93
CAMP00132,2025-12-25,2026-01-05,Email,44170,2648,458,264,642.68,1687.78,1.63
CAMP00133,2025-10-10,2025-10-23,Influencer,181173,9139,2958,1028,3918.51,9096.18,1.32
CAMP00134,2025-07-26,2025-08-09,Social,70881,1878,266,130,3476.04,5738.04,0.65
CAMP00135,2025-01-15,2025-01-22,Search,173782,3190,1367,639,2930.04,6098.24,1.08
CAMP00136,2025-12-12,2025-12-19,Influencer,145435,5102,974,458,4703.5,5587.42,0.19
CAMP00137,2025-02-11,2025-02-16,Influencer,78960,5898,1885,887,1679.73,3296.2,0.96
CAMP00138,2025-06-28,2025-07-07,Influencer,16990,799,119,24,557.31,1034.68,0.86
CAMP00139,2025-03-04,2025-03-12,Influencer,99258,6086,2701,1430,4909.86,12372.32,1.52
CAMP00140,2025-12-18,2025-12-24,Search,132640,2305,868,494,2261.62,5880.2,1.6
